,Date,Team,Acquired,Relinquished,Notes
37659,4/16/2023,Bucks, Giannis Antetokounmpo,,activated from IL
37660,4/16/2023,Bucks, Grayson Allen,,activated from IL
37661,4/16/2023,Bucks, Khris Middleton,,activated from IL
37662,4/16/2023,Clippers, Marcus Morris,,activated from IL
37663,4/16/2023,Grizzlies, Dillon Brooks,,activated from IL
37664,4/16/2023,Grizzlies, Ja Morant,,activated from IL
37665,4/16/2023,Grizzlies, Jaren Jackson Jr.,,activated from IL
37666,4/16/2023,Grizzlies, Santi Aldama,,activated from IL
37643,4/15/2023,76ers, De'Anthony Melton,,activated from IL
37644,4/15/2023,76ers, James Harden,,activated from IL
37645,4/15/2023,76ers, P.J. Tucker,,activated from IL
37646,4/15/2023,76ers, Tobias Harris,,activated from IL
37647,4/15/2023,76ers, Tyrese Maxey,,activated from IL
37648,4/15/2023,Cavaliers, Caris LeVert,,activated from IL
37649,4/15/2023,Cavaliers, Darius Garland,,activated from IL
37650,4/15/2023,Cavaliers, Donovan Mitchell,,activated from IL
37651,4/15/2023,Cavaliers, Isaac Okoro,,activated from IL
37652,4/15/2023,Celtics, Al Horford,,activated from IL
37653,4/15/2023,Celtics, Malcolm Brogdon,,activated from IL
37654,4/15/2023,Celtics, Marcus Smart,,activated from IL
37655,4/15/2023,Kings, Davion Mitchell,,activated from IL
37656,4/15/2023,Knicks, Duane Washington Jr.,,activated from IL
37657,4/15/2023,Knicks, Jalen Brunson,,activated from IL
37658,4/15/2023,Knicks, Julius Randle,,activated from IL
37641,4/12/2023,Raptors, Fred VanVleet,,activated from IL
37642,4/12/2023,Raptors, Ogugua Anunoby / O.G. Anunoby,,activated from IL
37635,4/11/2023,Celtics, Jaylen Brown,,activated from IL
37636,4/11/2023,Hawks, Clint Capela,,activated from IL
37637,4/11/2023,Hawks, Dejounte Murray,,activated from IL
37638,4/11/2023,Hawks, John Collins (Martin),,activated from IL
37639,4/11/2023,Hawks, Trae Young,,activated from IL
37640,4/11/2023,Timberwolves, Jaylen Nowell,,activated from IL
37622,4/9/2023,Cavaliers,, Caris LeVert,placed on IL with sore right knee
37623,4/9/2023,Grizzlies,, Dillon Brooks,placed on IL with groin injury
37624,4/9/2023,Grizzlies,, Ja Morant,placed on IL with right hand injury
37625,4/9/2023,Grizzlies,, Jaren Jackson Jr.,placed on IL with sore left elbow
37626,4/9/2023,Grizzlies, Ziaire Williams,,activated from IL
37627,4/9/2023,Heat, Edrice Adebayo / Bam Adebayo,,activated from IL
37628,4/9/2023,Heat, Kyle Lowry,,activated from IL
37629,4/9/2023,Heat, Tyler Herro,,activated from IL
37630,4/9/2023,Kings,, Davion Mitchell,placed on IL with sore left knee
37631,4/9/2023,Knicks,, Trevor Keels,placed on IL with illness
37632,4/9/2023,Nuggets, Bruce Brown,,activated from IL
37633,4/9/2023,Spurs,, Zach Collins,placed on IL with lacerated finger
37634,4/9/2023,Timberwolves, Austin Rivers,,activated from IL
37606,4/8/2023,Celtics,, Al Horford,placed on IL with back injury
37607,4/8/2023,Hawks,, Clint Capela,placed on IL with right calf injury
37608,4/8/2023,Hawks,, Dejounte Murray,placed on IL with sore left ankle
37609,4/8/2023,Hawks,, John Collins (Martin),placed on IL with back injury
37610,4/8/2023,Hawks,, Trae Young,placed on IL with right groin injury
37611,4/8/2023,Kings, De'Aaron Fox,,activated from IL
37612,4/8/2023,Kings, Domantas Sabonis,,activated from IL
37613,4/8/2023,Magic,, Moritz Wagner / Moe Wagner,placed on IL with sprained right ankle
37614,4/8/2023,Nuggets,, Bruce Brown,placed on IL with left knee inflammation
37615,4/8/2023,Nuggets, Aaron Gordon,,activated from IL
37616,4/8/2023,Nuggets, Jamal Murray,,activated from IL
37617,4/8/2023,Nuggets, Kentavious Caldwell-Pope,,activated from IL
37618,4/8/2023,Nuggets, Nikola Jokic,,activated from IL
37619,4/8/2023,Raptors,, Fred VanVleet,placed on IL with left thumb injury
37620,4/8/2023,Raptors,, Ogugua Anunoby / O.G. Anunoby,placed on IL with sore right ankle
37621,4/8/2023,Spurs,, Devin Vassell,placed on IL with left knee injury
37584,4/7/2023,76ers,, De'Anthony Melton,placed on IL with calf injury
37585,4/7/2023,76ers,, James Harden,placed on IL with left Achilles injury
37586,4/7/2023,76ers,, P.J. Tucker,placed on IL with right calf injury
37587,4/7/2023,76ers,, Tobias Harris,placed on IL with left hip injury
37588,4/7/2023,Bulls, Alex Caruso,,activated from IL
37589,4/7/2023,Celtics,, Jaylen Brown,placed on IL with lacerated finger
37590,4/7/2023,Celtics,, Malcolm Brogdon,placed on IL with sore lower back
37591,4/7/2023,Celtics, Payton Pritchard,,activated from IL
37592,4/7/2023,Grizzlies,, Santi Aldama,placed on IL with sore left elbow
37593,4/7/2023,Hawks, De'Andre Hunter,,activated from IL
37594,4/7/2023,Heat,, Edrice Adebayo / Bam Adebayo,placed on IL with strained left quadriceps
37595,4/7/2023,Heat,, Kyle Lowry,placed on IL with sore left knee
37596,4/7/2023,Heat,, Tyler Herro,placed on IL with bruised right quadriceps
37597,4/7/2023,Kings,, De'Aaron Fox,placed on IL with sore left ankle
37598,4/7/2023,Kings,, Domantas Sabonis,placed on IL with sore left ankle
37599,4/7/2023,Knicks, R.J. Barrett,,activated from IL
37600,4/7/2023,Magic, Gary Harris,,activated from IL
37601,4/7/2023,Mavericks,, Kyrie Irving,placed on IL with right foot injury
37602,4/7/2023,Pacers,, Jalen Smith,placed on IL with sore right knee
37603,4/7/2023,Pacers,, T.J. McConnell,placed on IL with hip injury
37604,4/7/2023,Warriors,, Ty Jerome,placed on IL with illness
37605,4/7/2023,Warriors, Klay Thompson,,activated from IL
37569,4/6/2023,76ers,, Tyrese Maxey,placed on IL with stiff neck
37570,4/6/2023,Bucks,, Khris Middleton,placed on IL with sore right knee
37571,4/6/2023,Celtics, Al Horford,,activated from IL
37572,4/6/2023,Celtics, Jayson Tatum,,activated from IL
37573,4/6/2023,Jazz,, Talen Horton-Tucker,placed on IL with sore left ankle
37574,4/6/2023,Magic,, Gary Harris,placed on IL with left adductor injury
37575,4/6/2023,Magic,, Paolo Banchero,placed on IL with back injury
37576,4/6/2023,Nuggets,, Aaron Gordon,placed on IL with right shoulder inflammation
37577,4/6/2023,Nuggets,, Jamal Murray,placed on IL with sprained right thumb
37578,4/6/2023,Nuggets,, Kentavious Caldwell-Pope,placed on IL with illness
37579,4/6/2023,Nuggets,, Nikola Jokic,placed on IL with right calf injury
37580,4/6/2023,Nuggets, Zeke Nnaji,,activated from IL
37581,4/6/2023,Spurs,, Devonte' Graham,placed on IL with strained left adductor
37582,4/6/2023,Spurs, Keldon Johnson,,activated from IL
37583,4/6/2023,Wizards, Delon Wright,,activated from IL
37551,4/5/2023,Bucks,, Giannis Antetokounmpo,placed on IL with sore right knee
37552,4/5/2023,Bucks, Jevon Carter,,activated from IL
37553,4/5/2023,Bulls,, Alex Caruso,placed on IL with sore left foot
37554,4/5/2023,Cavaliers,, Darius Garland,placed on IL with bruised left leg
37555,4/5/2023,Cavaliers,, Donovan Mitchell,placed on IL with left finger injury
37556,4/5/2023,Celtics,, Al Horford,placed on IL with tightness in lower back
37557,4/5/2023,Celtics,, Jayson Tatum,placed on IL with bruised left hip
37558,4/5/2023,Celtics,, Marcus Smart,placed on IL with neck spasms
37559,4/5/2023,Celtics,, Payton Pritchard,placed on IL with left heel injury
37560,4/5/2023,Celtics, Jaylen Brown,,activated from IL
37561,4/5/2023,Clippers, Eric Gordon,,activated from IL
37562,4/5/2023,Grizzlies, Dillon Brooks,,activated from IL
37563,4/5/2023,Hawks, Trae Young,,activated from IL
37564,4/5/2023,Knicks,, Jalen Brunson,placed on IL with right hand injury
37565,4/5/2023,Lakers, D'Angelo Russell,,activated from IL
37566,4/5/2023,Raptors, Gary Trent Jr.,,activated from IL
37567,4/5/2023,Clippers, Marcus Morris,,activated from IL
37568,4/5/2023,Clippers,, Marcus Morris,placed on IL with lower back spasms
37536,4/4/2023,Blazers,, Matisse Thybulle,placed on IL with right knee injury
37537,4/4/2023,Bucks,, Jevon Carter,placed on IL with foot injury
37538,4/4/2023,Celtics,, Jaylen Brown,placed on IL with sore lower back
37539,4/4/2023,Grizzlies,, Dillon Brooks,placed on IL with right hip injury
37540,4/4/2023,Hawks,, Trae Young,placed on IL with illness
37541,4/4/2023,Heat, Edrice Adebayo / Bam Adebayo,,activated from IL
37542,4/4/2023,Jazz,, Lauri Markkanen,placed on IL with left hand injury
37543,4/4/2023,Jazz, Collin Sexton,,activated from IL
37544,4/4/2023,Knicks, Derrick Rose,,activated from IL
37545,4/4/2023,Lakers,, D'Angelo Russell,placed on IL with sore left foot
37546,4/4/2023,Nuggets, Nikola Jokic,,activated from IL
37547,4/4/2023,Raptors, Will Barton,,activated from IL
37548,4/4/2023,Warriors,, Klay Thompson,placed on IL with sore back
37549,4/4/2023,Wizards,, Delon Wright,placed on IL with illness
37550,4/4/2023,Wizards,, Deni Avdija,placed on IL with bursitis in left elbow
37533,4/3/2023,Bucks,, Grayson Allen,placed on IL with sprained right ankle
37534,4/3/2023,Celtics, Al Horford,,activated from IL
37535,4/3/2023,Jazz,, Walker Kessler,placed on IL with concussion
37521,4/2/2023,Cavaliers, Jarrett Allen,,activated from IL
37522,4/2/2023,Grizzlies, John Konchar,,activated from IL
37523,4/2/2023,Grizzlies, Vince Williams Jr.,,activated from IL
37524,4/2/2023,Hornets,, P.J. Washington,placed on IL with sprained right ankle
37525,4/2/2023,Jazz, Lauri Markkanen,,activated from IL
37526,4/2/2023,Knicks,, R.J. Barrett,placed on IL with illness
37527,4/2/2023,Mavericks, Frank Ntilikina,,activated from IL
37528,4/2/2023,Nuggets,, Zeke Nnaji,placed on IL with knee injury
37529,4/2/2023,Raptors, Dalano Banton,,activated from IL
37530,4/2/2023,Spurs,, Keldon Johnson,placed on IL with sprained right foot
37531,4/2/2023,Wizards,, Kristaps Porzingis,placed on IL with illness
37532,4/2/2023,Wizards,, Monte Morris,placed on IL with sore right ankle
37516,4/1/2023,76ers, Tobias Harris,,activated from IL
37517,4/1/2023,Blazers,, Nassir Little,placed on IL with sprained left ankle
37518,4/1/2023,Clippers,, Eric Gordon,placed on IL with right hip injury
37519,4/1/2023,Clippers, Brandon Boston Jr. / B.J. Boston Jr.,,activated from IL
37520,4/1/2023,Heat,, Edrice Adebayo / Bam Adebayo,placed on IL with bruised right hip
37495,3/31/2023,76ers,, Tobias Harris,placed on IL with illness
37496,3/31/2023,Blazers,, Keon Johnson,placed on IL with fractured finger
37497,3/31/2023,Cavaliers,, Isaac Okoro,placed on IL with sore left knee
37498,3/31/2023,Cavaliers,, Jarrett Allen,placed on IL with strained right groin
37499,3/31/2023,Cavaliers, Danny Green,,activated from IL
37500,3/31/2023,Cavaliers, Dean Wade,,activated from IL
37501,3/31/2023,Cavaliers, Raulzinho Neto / Raul Neto,,activated from IL
37502,3/31/2023,Celtics,, Al Horford,placed on IL with lower back injury
37503,3/31/2023,Celtics, Payton Pritchard,,activated from IL
37504,3/31/2023,Grizzlies,, John Konchar,placed on IL with left hip injury
37505,3/31/2023,Hawks,, De'Andre Hunter,placed on IL with left knee injury
37506,3/31/2023,Hawks, Jalen Johnson,,activated from IL
37507,3/31/2023,Jazz, Kelly Olynyk,,activated from IL
37508,3/31/2023,Nuggets, Jack White,,activated from IL
37509,3/31/2023,Raptors, Joe Wieskamp,,activated from IL
37510,3/31/2023,Thunder, Lindy Waters III,,activated from IL
37511,3/31/2023,Thunder, Shai Gilgeous-Alexander,,activated from IL
37512,3/31/2023,Timberwolves,, Jaylen Nowell,placed on IL with left knee injury
37513,3/31/2023,Timberwolves, Matt Ryan,,activated from IL
37514,3/31/2023,Wizards,, Kristaps Porzingis,illness (out for season)
37515,3/31/2023,Wizards, Daniel Gafford,,activated from IL
37486,3/30/2023,Celtics,, Payton Pritchard,placed on IL with left heel injury
37487,3/30/2023,Grizzlies, Desmond Bane,,activated from IL
37488,3/30/2023,Grizzlies, Jaren Jackson Jr.,,activated from IL
37489,3/30/2023,Grizzlies, Tyus Jones,,activated from IL
37490,3/30/2023,Knicks,, Duane Washington Jr.,placed on IL with right hip injury
37491,3/30/2023,Knicks,, Julius Randle,placed on IL with sprained left ankle
37492,3/30/2023,Nuggets,, Nikola Jokic,placed on IL with right calf injury
37493,3/30/2023,Pacers, Buddy Hield,,activated from IL
37494,3/30/2023,Spurs, Keldon Johnson,,activated from IL
37467,3/29/2023,76ers, James Harden,,activated from IL
37468,3/29/2023,76ers, Joel Embiid,,activated from IL
37469,3/29/2023,Bucks, Giannis Antetokounmpo,,activated from IL
37470,3/29/2023,Bulls, Javonte Green,,activated from IL
37471,3/29/2023,Clippers, Norman Powell,,activated from IL
37472,3/29/2023,Grizzlies,, Desmond Bane,placed on IL with sore right foot
37473,3/29/2023,Grizzlies,, Jaren Jackson Jr.,placed on IL with calf injury
37474,3/29/2023,Grizzlies,, Tyus Jones,placed on IL with sore left foot
37475,3/29/2023,Grizzlies, Ja Morant,,activated from IL
37476,3/29/2023,Heat, Jimmy Butler,,activated from IL
37477,3/29/2023,Jazz,, Kelly Olynyk,placed on IL with illness
37478,3/29/2023,Jazz,, Lauri Markkanen,placed on IL with left hand injury
37479,3/29/2023,Jazz, Simone Fontecchio,,activated from IL
37480,3/29/2023,Knicks,, Derrick Rose,placed on IL with illness
37481,3/29/2023,Knicks, Jalen Brunson,,activated from IL
37482,3/29/2023,Mavericks,, Frank Ntilikina,placed on IL with knee injury
37483,3/29/2023,Nets, Edmond Sumner,,activated from IL
37484,3/29/2023,Pacers,, Myles Turner,placed on IL with sore left ankle
37485,3/29/2023,Timberwolves,, Austin Rivers,placed on IL with illness
37452,3/28/2023,Celtics, Payton Pritchard,,activated from IL
37453,3/28/2023,Grizzlies,, Ja Morant,placed on IL with right thigh injury
37454,3/28/2023,Grizzlies,, Ziaire Williams,placed on IL with sore right foot
37455,3/28/2023,Heat,, Jimmy Butler,placed on IL with sore neck
37456,3/28/2023,Heat, Cody Zeller,,activated from IL
37457,3/28/2023,Hornets,, Dennis Smith Jr.,placed on IL with sprained right toe
37458,3/28/2023,Nets,, Ben Simmons,placed on IL with back injury (out for season)
37459,3/28/2023,Pacers,, Tyrese Haliburton,placed on IL with right ankle injury
37460,3/28/2023,Raptors,, Will Barton,placed on IL with sprained left ankle
37461,3/28/2023,Spurs,, Jeremy Sochan,placed on IL with sore right knee
37462,3/28/2023,Suns, Kevin Durant,,activated from IL
37463,3/28/2023,Thunder,, Lindy Waters III,placed on IL with plantar fasciitis in foot
37464,3/28/2023,Thunder,, Shai Gilgeous-Alexander,placed on IL with sprained left ankle
37465,3/28/2023,Wizards,, Daniel Gafford,placed on IL with sore left foot
37466,3/28/2023,Wizards, Monte Morris,,activated from IL
37437,3/27/2023,76ers,, Joel Embiid,placed on IL with right calf injury
37438,3/27/2023,Bucks,, Giannis Antetokounmpo,placed on IL with sore right knee
37439,3/27/2023,Bucks, Goran Dragic,,activated from IL
37440,3/27/2023,Bucks, Jae Crowder,,activated from IL
37441,3/27/2023,Celtics, Jayson Tatum,,activated from IL
37442,3/27/2023,Clippers,, Marcus Morris,placed on IL with illness
37443,3/27/2023,Hornets,, Gordon Hayward,placed on IL with sprained left thumb
37444,3/27/2023,Jazz,, Simone Fontecchio,placed on IL with toe injury
37445,3/27/2023,Jazz, Lauri Markkanen,,activated from IL
37446,3/27/2023,Kings, De'Aaron Fox,,activated from IL
37447,3/27/2023,Knicks,, Jalen Brunson,placed on IL with sprained right hand
37448,3/27/2023,Nuggets,, Jack White,placed on IL with NBA health and safety protocols
37449,3/27/2023,Pacers,, Buddy Hield,placed on IL with illness
37450,3/27/2023,Suns, Deandre Ayton,,activated from IL
37451,3/27/2023,Timberwolves,, Matt Ryan,placed on IL with illness
37421,3/26/2023,Bulls,, Javonte Green,placed on IL with right knee injury
37422,3/26/2023,Cavaliers,, Danny Green,placed on IL with illness / health and safety protocols
37423,3/26/2023,Cavaliers,, Dean Wade,placed on IL with illness
37424,3/26/2023,Celtics,, Jayson Tatum,placed on IL with bruised left hip
37425,3/26/2023,Hawks, De'Andre Hunter,,activated from IL
37426,3/26/2023,Hornets,, Terry Rozier,placed on IL with right foot injury
37427,3/26/2023,Lakers, LeBron James,,activated from IL
37428,3/26/2023,Magic, Jalen Suggs,,activated from IL
37429,3/26/2023,Mavericks, Tim Hardaway Jr.,,activated from IL
37430,3/26/2023,Nets,, Edmond Sumner,placed on IL with bruised right hip
37431,3/26/2023,Pacers,, Chris Duarte,placed on IL with sore left ankle
37432,3/26/2023,Raptors, Scottie Barnes,,activated from IL
37433,3/26/2023,Spurs,, Keldon Johnson,placed on IL with sore left foot
37434,3/26/2023,Spurs, Romeo Langford,,activated from IL
37435,3/26/2023,Timberwolves, Anthony Edwards,,activated from IL
37436,3/26/2023,Wizards,, Monte Morris,placed on IL with left groin injury
37415,3/25/2023,76ers, Jalen McDaniels,,activated from IL
37416,3/25/2023,Hawks,, De'Andre Hunter,placed on IL with bruised left knee
37417,3/25/2023,Kings,, De'Aaron Fox,placed on IL with right hamstring injury
37418,3/25/2023,Pacers,, Myles Turner,placed on IL with sore lower back
37419,3/25/2023,Pacers, Chris Duarte,,activated from IL
37420,3/25/2023,Rockets, Frank Kaminsky,,activated from IL
37398,3/24/2023,Blazers,, Damian Lillard,placed on IL with tightness in right calf
37399,3/24/2023,Blazers,, Jusuf Nurkic,placed on IL with sore right knee
37400,3/24/2023,Blazers, Nassir Little,,activated from IL
37401,3/24/2023,Bulls,, Alex Caruso,placed on IL with sprained left foot
37402,3/24/2023,Bulls, Alex Caruso,,activated from IL
37403,3/24/2023,Hawks, Dejounte Murray,,activated from IL
37404,3/24/2023,Hornets,, Kelly Oubre Jr.,placed on IL with strained left shoulder
37405,3/24/2023,Hornets,, Terry Rozier,right foot injury (DTD)
37406,3/24/2023,Kings, Kevin Huerter,,activated from IL
37407,3/24/2023,Mavericks, Kyrie Irving,,activated from IL
37408,3/24/2023,Pacers, Tyrese Haliburton,,activated from IL
37409,3/24/2023,Raptors,, Gary Trent Jr.,placed on IL with stiffness in right elbow
37410,3/24/2023,Raptors,, Scottie Barnes,placed on IL with sore left wrist
37411,3/24/2023,Rockets,, Frank Kaminsky,placed on IL with migraine headache
37412,3/24/2023,Spurs, Devonte' Graham,,activated from IL
37413,3/24/2023,Spurs, Doug McDermott,,activated from IL
37414,3/24/2023,Thunder, Aleksej Pokusevski,,activated from IL
37394,3/23/2023,76ers, P.J. Tucker,,activated from IL
37395,3/23/2023,Cavaliers,, Raulzinho Neto / Raul Neto,placed on IL with strained left hamstring
37396,3/23/2023,Jazz,, Lauri Markkanen,placed on IL with left hand injury
37397,3/23/2023,Jazz,, Rudy Gay,placed on IL with back spasms
37380,3/22/2023,76ers,, James Harden,placed on IL with sore left Achilles
37381,3/22/2023,Blazers,, Nassir Little,placed on IL with concussion protocols
37382,3/22/2023,Clippers,, Paul George,placed on IL with sprained right knee
37383,3/22/2023,Jazz, Lauri Markkanen,,activated from IL
37384,3/22/2023,Mavericks,, Kyrie Irving,placed on IL with sore right foot
37385,3/22/2023,Mavericks,, Tim Hardaway Jr.,placed on IL with illness
37386,3/22/2023,Mavericks, Luka Doncic,,activated from IL
37387,3/22/2023,Raptors,, Joe Wieskamp,placed on IL with strained right hamstring
37388,3/22/2023,Spurs,, Devonte' Graham,placed on IL with right quadriceps injury
37389,3/22/2023,Spurs,, Doug McDermott,placed on IL with hip injury
37390,3/22/2023,Spurs,, Romeo Langford,placed on IL with left adductor injury
37391,3/22/2023,Spurs, Jeremy Sochan,,activated from IL
37392,3/22/2023,Timberwolves, Karl-Anthony Towns,,activated from IL
37393,3/22/2023,Wizards,, Bradley Beal,placed on IL with sore left knee
37373,3/21/2023,Blazers,, Anfernee Simons,placed on IL with sore right foot
37374,3/21/2023,Cavaliers, Jarrett Allen,,activated from IL
37375,3/21/2023,Celtics, Robert Williams III,,activated from IL
37376,3/21/2023,Hawks,, Dejounte Murray,placed on IL with illness
37377,3/21/2023,Rockets,, Jae'Sean Tate,placed on IL with sore left knee
37378,3/21/2023,Spurs, Devonte' Graham,,activated from IL
37379,3/21/2023,Spurs, Doug McDermott,,activated from IL
37365,3/20/2023,Bulls, Javonte Green,,activated from IL
37366,3/20/2023,Celtics, Marcus Smart,,activated from IL
37367,3/20/2023,Jazz,, Lauri Markkanen,placed on IL with sore back
37368,3/20/2023,Kings, Trey Lyles,,activated from IL
37369,3/20/2023,Pacers, Bennedict Mathurin,,activated from IL
37370,3/20/2023,Timberwolves, Jaylen Nowell,,activated from IL
37371,3/20/2023,Wizards,, Kyle Kuzma,placed on IL with sprained right ankle
37372,3/20/2023,Wizards, Kristaps Porzingis,,activated from IL
37356,3/19/2023,76ers, James Harden,,activated from IL
37357,3/19/2023,Blazers, Nassir Little,,activated from IL
37358,3/19/2023,Bucks, Grayson Allen,,activated from IL
37359,3/19/2023,Heat, Kyle Lowry,,activated from IL
37360,3/19/2023,Spurs,, Devonte' Graham,placed on IL with left quadriceps tendon injury
37361,3/19/2023,Spurs,, Jeremy Sochan,placed on IL with sore right knee
37362,3/19/2023,Spurs, Romeo Langford,,activated from IL
37363,3/19/2023,Suns,, Deandre Ayton,placed on IL with bruised right hip
37364,3/19/2023,Suns, Landry Shamet,,activated from IL
37347,3/18/2023,76ers,, James Harden,placed on IL with sore left foot
37348,3/18/2023,76ers,, P.J. Tucker,placed on IL with sore left ankle
37349,3/18/2023,Celtics,, Marcus Smart,placed on IL with bruised left hip
37350,3/18/2023,Celtics, Malcolm Brogdon,,activated from IL
37351,3/18/2023,Heat,, Kyle Lowry,placed on IL with sore knee
37352,3/18/2023,Kings,, Trey Lyles,placed on IL with sore right shoulder
37353,3/18/2023,Nuggets, Zeke Nnaji,,activated from IL
37354,3/18/2023,Timberwolves,, Anthony Edwards,placed on IL with sprained right ankle
37355,3/18/2023,Wizards,, Kristaps Porzingis,placed on IL with illness
37336,3/17/2023,Blazers,, Nassir Little,placed on IL with illness
37337,3/17/2023,Bulls, Alex Caruso,,activated from IL
37338,3/17/2023,Celtics,, Malcolm Brogdon,placed on IL with sore right Achilles
37339,3/17/2023,Hawks,, Jalen Johnson,placed on IL with strained left hamstring
37340,3/17/2023,Kings,, Kevin Huerter,placed on IL with right hamstring injury / knee injury
37341,3/17/2023,Lakers, Anthony Davis,,activated from IL
37342,3/17/2023,Magic,, Jalen Suggs,placed on IL with concussion protocols
37343,3/17/2023,Mavericks, Kyrie Irving,,activated from IL
37344,3/17/2023,Mavericks, Tim Hardaway Jr.,,activated from IL
37345,3/17/2023,Spurs,, Doug McDermott,placed on IL with right hip injury
37346,3/17/2023,Timberwolves, Austin Rivers,,activated from IL
37325,3/16/2023,Bucks,, Jae Crowder,placed on IL with sore calf
37326,3/16/2023,Pacers,, Chris Duarte,placed on IL with sore left ankle
37327,3/16/2023,Pacers, Myles Turner,,activated from IL
37328,3/16/2023,Pacers, T.J. McConnell,,activated from IL
37329,3/16/2023,Pistons, Jaden Ivey,,activated from IL
37330,3/16/2023,Spurs,, Romeo Langford,placed on IL with left adductor injury
37331,3/16/2023,Spurs, Jeremy Sochan,,activated from IL
37332,3/16/2023,Spurs, Zach Collins,,activated from IL
37333,3/16/2023,Wizards, Kyle Kuzma,,activated from IL
37334,3/16/2023,Pacers, Tyrese Haliburton,,activated from IL
37335,3/16/2023,Pacers,, Tyrese Haliburton,placed on IL with sprained right ankle
37312,3/15/2023,76ers,, Jalen McDaniels,placed on IL with bruised right hip
37313,3/15/2023,Bulls,, Alex Caruso,placed on IL with illness
37314,3/15/2023,Cavaliers, Donovan Mitchell,,activated from IL
37315,3/15/2023,Lakers,, Anthony Davis,placed on IL with stress reaction in right foot
37316,3/15/2023,Mavericks,, Tim Hardaway Jr.,placed on IL with left calf injury
37317,3/15/2023,Rockets, Alperen Sengun,,activated from IL
37318,3/15/2023,Spurs,, Charles Bassey,placed on IL with fractured patella in left knee (out for season)
37319,3/15/2023,Spurs,, Jeremy Sochan,placed on IL with right knee injury
37320,3/15/2023,Spurs,, Zach Collins,placed on IL with left ankle injury
37321,3/15/2023,Spurs, Keldon Johnson,,activated from IL
37322,3/15/2023,Spurs, Malaki Branham,,activated from IL
37323,3/15/2023,Spurs, Tre Jones,,activated from IL
37324,3/15/2023,Warriors, Jonathan Kuminga,,activated from IL
37302,3/14/2023,Blazers,, Jerami Grant,placed on IL with bruised left quadriceps
37303,3/14/2023,Blazers, Damian Lillard,,activated from IL
37304,3/14/2023,Bucks,, Goran Dragic,placed on IL with sore left knee
37305,3/14/2023,Bucks,, Grayson Allen,placed on IL with sore right foot
37306,3/14/2023,Cavaliers,, Donovan Mitchell,placed on IL with finger injury
37307,3/14/2023,Pelicans, Brandon Ingram,,activated from IL
37308,3/14/2023,Spurs,, Malaki Branham,placed on IL with right shoulder injury
37309,3/14/2023,Spurs, Jeremy Sochan,,activated from IL
37310,3/14/2023,Thunder, Shai Gilgeous-Alexander,,activated from IL
37311,3/14/2023,Wizards,, Kyle Kuzma,placed on IL with sore right knee
37296,3/13/2023,Bucks, Giannis Antetokounmpo,,activated from IL
37297,3/13/2023,Bucks, Wesley Matthews / Wes Matthews Jr.,,activated from IL
37298,3/13/2023,Hawks, Bogdan Bogdanovic,,activated from IL
37299,3/13/2023,Heat, Caleb Martin,,activated from IL
37300,3/13/2023,Heat, Duncan Robinson,,activated from IL
37301,3/13/2023,Rockets,, Alperen Sengun,placed on IL with strained left groin
37286,3/12/2023,Blazers,, Damian Lillard,placed on IL with right calf injury
37287,3/12/2023,Blazers, Ryan Arcidiacono,,activated from IL
37288,3/12/2023,Cavaliers,, Jarrett Allen,placed on IL with right eye injury
37289,3/12/2023,Cavaliers, Darius Garland,,activated from IL
37290,3/12/2023,Heat,, Cody Zeller,placed on IL with fractured nose
37291,3/12/2023,Pelicans, Larry Nance Jr.,,activated from IL
37292,3/12/2023,Spurs,, Jeremy Sochan,placed on IL with sore right knee
37293,3/12/2023,Spurs,, Keldon Johnson,placed on IL with sore left foot
37294,3/12/2023,Spurs,, Tre Jones,placed on IL with illness
37295,3/12/2023,Thunder,, Shai Gilgeous-Alexander,placed on IL with strained abdominal
37274,3/11/2023,Bucks, Goran Dragic,,activated from IL
37275,3/11/2023,Hawks,, Bogdan Bogdanovic,placed on IL with back injury
37276,3/11/2023,Heat,, Caleb Martin,placed on IL with sore left knee
37277,3/11/2023,Heat, Kyle Lowry,,activated from IL
37278,3/11/2023,Magic, Wendell Carter Jr.,,activated from IL
37279,3/11/2023,Mavericks,, Kyrie Irving,placed on IL with sore right foot
37280,3/11/2023,Pacers,, Myles Turner,placed on IL with sore lower back
37281,3/11/2023,Pacers,, T.J. McConnell,placed on IL with sore back
37282,3/11/2023,Pacers,, Tyrese Haliburton,placed on IL with bruised left knee
37283,3/11/2023,Pelicans,, Brandon Ingram,placed on IL with sprained right ankle
37284,3/11/2023,Rockets, Kevin Porter Jr.,,activated from IL
37285,3/11/2023,Suns,, Kevin Durant,placed on IL with sprained left ankle
37256,3/10/2023,Blazers, Anfernee Simons,,activated from IL
37257,3/10/2023,Cavaliers,, Darius Garland,placed on IL with bruised right quadriceps
37258,3/10/2023,Heat,, Duncan Robinson,placed on IL with illness
37259,3/10/2023,Mavericks,, Luka Doncic,placed on IL with strained left thigh
37260,3/10/2023,Mavericks, JaVale McGee,,activated from IL
37261,3/10/2023,Mavericks, Maximilian Kleber / Maxi Kleber,,activated from IL
37262,3/10/2023,Mavericks, Reggie Bullock,,activated from IL
37263,3/10/2023,Nets, Cameron Johnson,,activated from IL
37264,3/10/2023,Nets, Nicolas Claxton / Nic Claxton,,activated from IL
37265,3/10/2023,Nets, Royce O'Neale,,activated from IL
