date,rot,vh,team,1st,2nd,3rd,4th,final,open,close,ml,2h,season
1121,520,H,SanAntonio,32,27,18,26,103,2.5,3.0,-155,2.5,2018-19
1121,521,V,Brooklyn,32,18,31,32,113,216.5,215.0,180,1.0,2018-19
1121,522,H,Dallas,34,27,24,34,119,7.0,5.0,-220,111.0,2018-19
1121,523,V,Sacramento,34,26,24,35,119,220.0,222.5,400,109.5,2018-19
1121,524,H,Utah,23,31,29,27,110,9.5,9.5,-550,9.5,2018-19
1121,525,V,OklahomaCity,23,37,27,36,123,222.5,223.5,-110,109.0,2018-19
1121,526,H,GoldenState,18,28,33,16,95,1.0,,-110,3.5,2018-19
1123,501,V,Minnesota,22,32,35,23,112,1.0,2.0,-125,,2018-19
1123,502,H,Brooklyn,26,23,23,30,102,220.5,221.5,105,109.0,2018-19
1123,503,V,Memphis,22,30,18,28,107,214.5,209.5,155,104.0,2018-19
1123,504,H,LAClippers,16,28,31,23,112,3.0,4.5,-179,4.5,2018-19
1123,505,V,Houston,30,26,23,19,111,3.5,3.5,-180,4.0,2018-19
1123,506,H,Detroit,34,27,17,20,116,218.0,216.0,155,107.0,2018-19
1123,507,V,NewOrleans,34,26,30,19,109,7.5,7.5,-300,5.0,2018-19
1123,508,H,NewYork,28,31,28,27,114,238.0,235.0,245,114.5,2018-19
1123,509,V,Cleveland,31,23,30,37,121,220.0,217.5,797,106.5,2018-19
1123,510,H,Philadelphia,23,31,29,29,112,13.5,13.0,-1300,8.5,2018-19
1123,511,V,Washington,26,36,25,20,107,228.5,230.5,435,114.0,2018-19
1123,512,H,Toronto,38,32,31,24,125,10.0,10.5,-580,3.5,2018-19
1123,513,V,Boston,45,16,21,32,114,9.5,8.0,-350,,2018-19
1123,514,H,Atlanta,23,22,19,32,96,219.5,223.5,281,114.5,2018-19
1123,515,V,Miami,28,32,18,25,103,2.0,4.0,-170,103.5,2018-19
1123,516,H,Chicago,26,13,30,27,96,214.0,213.0,148,3.5,2018-19
1123,517,V,SanAntonio,29,25,28,29,111,206.5,207.5,105,107.5,2018-19
1123,518,H,Indiana,23,22,24,31,100,3.0,1.5,-125,3.0,2018-19
1123,519,V,Charlotte,31,26,23,24,104,227.0,230.0,227,113.5,2018-19
1123,520,H,OklahomaCity,33,29,27,20,109,6.0,7.0,-277,2.5,2018-19
1123,521,V,Phoenix,34,30,27,25,116,228.5,232.5,837,116.0,2018-19
1123,522,H,Milwaukee,30,31,29,24,114,14.0,13.5,-1400,10.0,2018-19
1123,523,V,Orlando,19,22,27,19,87,214.5,210.0,317,103.0,2018-19
1123,524,H,Denver,21,33,26,32,112,8.0,8.5,-400,1.0,2018-19
1123,525,V,Utah,16,22,25,20,83,221.0,219.5,125,112.5,2018-19
1123,526,H,LALakers,22,16,26,26,90,2.0,3.0,-145,2.5,2018-19
1123,527,V,Portland,27,17,29,24,97,220.5,218.5,-107,4.0,2018-19
1123,528,H,GoldenState,24,35,33,33,125,2.0,1.0,-114,112.5,2018-19
1124,701,V,Houston,30,28,25,25,108,11.0,6.5,-330,7.0,2018-19
