Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
9134,2006-11-01,Blazers,, Sergio Rodriguez,placed on IL
9135,2006-11-01,Blazers, Martell Webster,,activated from IL
9136,2006-11-01,Bobcats,, Primoz Brezec,placed on IL with dehydration
9137,2006-11-01,Bobcats, Walter Herrmann,,activated from IL
9138,2006-11-01,Bulls,, Tyrus Thomas,placed on IL with fractured nose
9139,2006-11-01,Bulls, Andre Barrett,,activated from IL
9140,2006-11-01,Kings,, Quincy Douby,placed on IL
9141,2006-11-01,Kings, Mike Bibby,,activated from IL
9142,2006-11-01,Magic,, J.J. Redick,placed on IL with back spasms
9143,2006-11-01,Magic, Keith Bogans,,activated from IL
9144,2006-11-01,Rockets,, Bonzi Wells,placed on IL with groin injury
9145,2006-11-01,Rockets, Scott Padgett,,activated from IL
9146,2006-11-02,Mavericks,, Devean George,placed on IL with stomach illness
9147,2006-11-02,Mavericks,, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL with strained tendon in left foot
9148,2006-11-02,Mavericks, Maurice Ager,,activated from IL
9149,2006-11-02,Mavericks, Pops Mensah-Bonsu,,activated from IL
9150,2006-11-02,Nuggets,, DerMarr Johnson,placed on IL
9151,2006-11-02,Nuggets, Nene / Nene Hilario / Maybyner Hilario,,activated from IL
9152,2006-11-03,Blazers,, Raef LaFrentz,placed on IL
9153,2006-11-03,Blazers, Sergio Rodriguez,,activated from IL
9154,2006-11-03,Bulls,, Andre Barrett,placed on IL
9155,2006-11-03,Bulls,, Michael Sweetney / Mike Sweetney,placed on IL with right knee injury
9156,2006-11-03,Bulls, Tyrus Thomas,,activated from IL
9157,2006-11-03,Magic,, Carlos Arroyo,placed on IL with hamstring injury
9158,2006-11-03,Sonics,, Johan Petro,placed on IL with irregular heartbeat
9159,2006-11-03,Sonics, Kareem Rush,,activated from IL
9160,2006-11-03,Spurs,, James White,placed on IL
9161,2006-11-03,Warriors,, Keith McLeod,placed on IL with sprained right ankle
9162,2006-11-03,Warriors, Adonal Foyle,,activated from IL
9163,2006-11-04,Jazz,, Rafael Araujo,placed on IL
9164,2006-11-04,Jazz, Dee Brown (b. 1984-08-17),,activated from IL
9165,2006-11-04,Mavericks,, Pops Mensah-Bonsu,placed on IL
9166,2006-11-04,Mavericks, Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
9167,2006-11-04,Rockets,, Scott Padgett,placed on IL
9168,2006-11-04,Rockets, Bonzi Wells,,activated from IL
9169,2006-11-05,Magic, Carlos Arroyo,,activated from IL
9170,2006-11-05,Sonics,, Andreas Glyniadakis,placed on IL
9171,2006-11-05,Sonics, Johan Petro,,activated from IL
9172,2006-11-06,Kings,, Brad Miller,placed on IL with plantar fascia in left foot
9173,2006-11-06,Kings, Vitaly Potapenko,,activated from IL
9174,2006-11-07,76ers, Ivan McFarland,,activated from IL
9175,2006-11-07,Cavaliers,, Ira Newble,placed on IL
9176,2006-11-07,Cavaliers, Shannon Brown,,activated from IL
9177,2006-11-07,Grizzlies,, Alexander Johnson,placed on IL
9178,2006-11-07,Grizzlies, Stromile Swift,,activated from IL
9179,2006-11-07,Heat,, Shaquille O'Neal,placed on IL with bruised left knee
9180,2006-11-07,Rockets,, Bonzi Wells,placed on IL with groin injury
9181,2006-11-07,Rockets, Scott Padgett,,activated from IL
9182,2006-11-08,Celtics,, Al Jefferson,placed on IL with appendectomy
9183,2006-11-08,Celtics, Brian Scalabrine,,activated from IL
9184,2006-11-08,Celtics, Theo Ratliff,,activated from IL
9185,2006-11-08,Mavericks,, Josh Howard,placed on IL with sprained left ankle
9186,2006-11-08,Mavericks, Devean George,,activated from IL
9187,2006-11-08,Pacers,, Maceo Baston,placed on IL
9188,2006-11-08,Pacers, Josh Powell,,activated from IL
9189,2006-11-08,Pistons,, Will Blalock,placed on IL
9190,2006-11-08,Pistons, Ronald Dupree,,activated from IL
9191,2006-11-09,Suns,, Raja Bell,placed on IL with bruised ribs
9192,2006-11-09,Warriors,, Jason Richardson,placed on IL with stiffness in left knee
9193,2006-11-09,Warriors, Dajuan Wagner,,activated from IL
9194,2006-11-10,Celtics,, Leon Powe,placed on IL
9195,2006-11-10,Heat, Shaquille O'Neal,,activated from IL
9196,2006-11-10,Jazz,, Gordan Giricek,placed on IL with sore right Achilles tendon
9197,2006-11-10,Jazz, Roger Powell,,activated from IL
9198,2006-11-10,Magic,, Travis Diener,placed on IL
9199,2006-11-10,Magic, Trevor Ariza,,activated from IL
9200,2006-11-10,Nuggets,, Kenyon Martin Sr.,placed on IL with left knee injury
9201,2006-11-10,Nuggets, DerMarr Johnson,,activated from IL
9202,2006-11-10,Pistons,, Richard Hamilton,placed on IL with hyperextended right elbow
9203,2006-11-10,Pistons, Dale Davis,,activated from IL
9204,2006-11-10,Sonics,, Mouhamed Sene / Saer Sene,placed on IL
9205,2006-11-10,Sonics, Andreas Glyniadakis,,activated from IL
9206,2006-11-11,Celtics,, Theo Ratliff,placed on IL with bulging disc in lower back
9207,2006-11-11,Celtics,, Wally Szczerbiak,placed on IL with strained lower back
9208,2006-11-11,Celtics, Leon Powe,,activated from IL
9209,2006-11-11,Grizzlies,, Brian Cardinal,placed on IL for personal reasons
9210,2006-11-11,Grizzlies,, Iakovos Tsakalidis / Jake Tsakalidis,placed on IL with right knee injury
9211,2006-11-11,Grizzlies, Alexander Johnson,,activated from IL
9212,2006-11-11,Magic,, Grant Hill,placed on IL with sore ankle
9213,2006-11-11,Magic, Travis Diener,,activated from IL
9214,2006-11-11,Warriors,, Ike Diogu,placed on IL with sprained ankle
9215,2006-11-11,Warriors, Jason Richardson,,activated from IL
9216,2006-11-12,Blazers,, Joel Przybilla,placed on IL with abdominal injury
9217,2006-11-12,Blazers, LaMarcus Aldridge,,activated from IL
9218,2006-11-12,Bobcats,, Walter Herrmann,placed on IL
9219,2006-11-12,Bobcats, Alan Anderson,,activated from IL
9220,2006-11-12,Kings,, Vitaly Potapenko,placed on IL
9221,2006-11-12,Kings, Quincy Douby,,activated from IL
9222,2006-11-12,Lakers, Kwame Brown,,activated from IL
9223,2006-11-12,Nuggets,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with bruised right knee
9224,2006-11-12,Wizards,, Andray Blatche,placed on IL
9225,2006-11-12,Wizards, Calvin Booth,,activated from IL
9226,2006-11-13,Celtics, Wally Szczerbiak,,activated from IL
9227,2006-11-13,Magic,, Travis Diener,placed on IL
9228,2006-11-13,Magic, Grant Hill,,activated from IL
9229,2006-11-14,Bulls,, Adrian Griffin,placed on IL with strained calf
9230,2006-11-14,Bulls, Michael Sweetney / Mike Sweetney,,activated from IL
9231,2006-11-14,Clippers,, Yaroslav Korolev,placed on IL
9232,2006-11-14,Clippers, Aaron Williams,,activated from IL
9233,2006-11-14,Heat,, Shaquille O'Neal,placed on IL with hyperextended left knee
9234,2006-11-14,Hornets,, David West,placed on IL with strained left forearm
9235,2006-11-14,Hornets, Marcus Vinicius Viera de Souza,,activated from IL
9236,2006-11-14,Jazz,, Andrei Kirilenko,placed on IL with sprained right ankle
9237,2006-11-14,Jazz, Rafael Araujo,,activated from IL
9238,2006-11-14,Rockets,, Chuck Hayes,placed on IL with hyperextended left knee
9239,2006-11-14,Rockets, John Lucas III,,activated from IL
9240,2006-11-14,Timberwolves,, Bracey Wright,placed on IL
9241,2006-11-14,Timberwolves, Mark Madsen,,activated from IL
9242,2006-11-14,Warriors,, Troy Murphy,placed on IL with left Achilles tendinitis / sore left heel
9243,2006-11-14,Warriors, Keith McLeod,,activated from IL
9244,2006-11-15,76ers,, Ivan McFarland,placed on IL
9245,2006-11-15,76ers, Bobby Jones (Ray),,activated from IL
9246,2006-11-15,Bucks,, Charlie Villanueva,placed on IL with left elbow injury
9247,2006-11-15,Bucks, Chris McCray,,activated from IL
9248,2006-11-15,Cavaliers,, Shannon Brown,placed on IL
9249,2006-11-15,Cavaliers, Daniel Gibson,,activated from IL
9250,2006-11-15,Hornets,, Tyson Chandler,placed on IL with concussion
9251,2006-11-15,Hornets, Marc Jackson,,activated from IL
9252,2006-11-15,Pacers,, Josh Powell,placed on IL
9253,2006-11-15,Pacers, Orien Greene,,activated from IL
9254,2006-11-15,Pistons,, Amir Johnson,placed on IL
9255,2006-11-15,Pistons, Richard Hamilton,,activated from IL
9256,2006-11-16,Kings,, John Salmons,placed on IL with bruised right quadriceps
9257,2006-11-16,Kings, Vitaly Potapenko,,activated from IL
9258,2006-11-17,76ers,, Bobby Jones (Ray),placed on IL
9259,2006-11-17,76ers, Louis Williams / Lou Williams,,activated from IL
9260,2006-11-17,Cavaliers,, Larry Hughes,placed on IL with sprained right ankle
9261,2006-11-17,Cavaliers, Shannon Brown,,activated from IL
9262,2006-11-17,Celtics,, Michael Olowokandi,placed on IL with torn abdominal muscle
9263,2006-11-17,Celtics, Allan Ray,,activated from IL
9264,2006-11-17,Grizzlies,, Eddie Jones,placed on IL with right Achilles tendinitis
9265,2006-11-17,Grizzlies, Brian Cardinal,,activated from IL
9266,2006-11-17,Heat,, Robert Hite,placed on IL
9267,2006-11-17,Heat,, Shaquille O'Neal,placed on IL with torn cartilage in left knee
9268,2006-11-17,Heat, Jason Williams,,activated from IL
9269,2006-11-17,Heat, Michael Doleac,,activated from IL
9270,2006-11-17,Knicks,, Kelvin Cato,placed on IL
9271,2006-11-17,Knicks, Jerome James,,activated from IL
9272,2006-11-17,Lakers,, Ronny Turiaf,placed on IL
9273,2006-11-17,Lakers, Kwame Brown,,activated from IL
9274,2006-11-17,Pacers,, David Harrison,placed on IL with sore left shoulder
9275,2006-11-17,Pacers, Maceo Baston,,activated from IL
9276,2006-11-17,Sonics,, Danny Fortson,placed on IL with swollen left knee
9277,2006-11-17,Sonics, Mouhamed Sene / Saer Sene,,activated from IL
9278,2006-11-17,Suns,, Steve Nash,placed on IL with lower back spasms
9279,2006-11-17,Suns, Raja Bell,,activated from IL
9280,2006-11-18,76ers,, Chris Webber,placed on IL with back stiffness
9281,2006-11-18,76ers,, Steven Hunter,placed on IL with knee injury
9282,2006-11-18,76ers, Ivan McFarland,,activated from IL
9283,2006-11-18,Bobcats,, Brevin Knight,placed on IL with knee injury (ankle injury per CBC)
9284,2006-11-18,Bobcats, Primoz Brezec,,activated from IL
9285,2006-11-18,Grizzlies, Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
9286,2006-11-18,Hawks,, Josh Childress,placed on IL with sprained left foot
9287,2006-11-18,Hawks, Esteban Batista,,activated from IL
9288,2006-11-18,Hornets,, Marcus Vinicius Viera de Souza,placed on IL
9289,2006-11-18,Hornets, Tyson Chandler,,activated from IL
9290,2006-11-18,Mavericks,, Jerry Stackhouse,placed on IL with strained right groin
9291,2006-11-18,Mavericks, Pops Mensah-Bonsu,,activated from IL
9292,2006-11-18,Pacers,, Al Harrington,placed on IL with back injury
9293,2006-11-18,Pacers, Josh Powell,,activated from IL
9294,2006-11-18,Sonics,, Andreas Glyniadakis,placed on IL
9295,2006-11-18,Sonics, Desmon Farmer,,activated from IL
9296,2006-11-18,Suns,, Jumaine Jones,placed on IL with strained calf
9297,2006-11-18,Wizards,, Calvin Booth,placed on IL
9298,2006-11-18,Wizards, Andray Blatche,,activated from IL
9299,2006-11-20,Bobcats,, Matt Carroll,placed on IL with finger injury
9300,2006-11-20,Bobcats, Brevin Knight,,activated from IL
9301,2006-11-20,Knicks,, Mardy Collins,placed on IL
9302,2006-11-20,Knicks, Kelvin Cato,,activated from IL
9303,2006-11-20,Mavericks,, Devean George,placed on IL with hyperextended right knee
9304,2006-11-20,Mavericks, Jerry Stackhouse,,activated from IL
9305,2006-11-20,Raptors,, Kris Humphries,placed on IL with sprained right ankle
9306,2006-11-20,Spurs,, Jacque Vaughn,placed on IL
9307,2006-11-20,Spurs, Eric Williams,,activated from IL
9308,2006-11-20,Suns,, Jumaine Jones,placed on IL
9309,2006-11-20,Suns, Steve Nash,,activated from IL
9310,2006-11-20,Warriors, Troy Murphy,,activated from IL
9311,2006-11-21,76ers,, Allen Iverson,placed on IL recovering from oral surgery to remove abscessed wisdom tooth
9312,2006-11-21,76ers,, Steven Hunter,placed on IL with sprained right knee
9313,2006-11-21,76ers, Bobby Jones (Ray),,activated from IL
9314,2006-11-21,76ers, Steven Smith,,activated from IL
9315,2006-11-21,Heat,, James Posey,placed on IL with left calf injury
9316,2006-11-21,Heat, Earl Barron,,activated from IL
9317,2006-11-21,Lakers,, Jordan Farmar,placed on IL with sprained right ankle
9318,2006-11-21,Pacers,, Maceo Baston,placed on IL
9319,2006-11-21,Pacers, Al Harrington,,activated from IL
9320,2006-11-22,Bobcats,, Brevin Knight,placed on IL with strained left calf
9321,2006-11-22,Bobcats, Matt Carroll,,activated from IL
9322,2006-11-22,Bucks,, Maurice Williams / Mo Williams,placed on IL with sore left elbow
9323,2006-11-22,Bucks, Lynn Greer,,activated from IL
9324,2006-11-22,Celtics,, Delonte West,placed on IL with sprained left big toe
9325,2006-11-22,Celtics, Al Jefferson,,activated from IL
9326,2006-11-22,Hawks,, Josh Childress,placed on IL with sprained left foot
9327,2006-11-22,Heat,, Jason Williams,placed on IL with sore knee
9328,2006-11-22,Heat, Robert Hite,,activated from IL
9329,2006-11-22,Jazz,, Roger Powell,placed on IL
9330,2006-11-22,Jazz, Gordan Giricek,,activated from IL
9331,2006-11-22,Kings,, Vitaly Potapenko,placed on IL
9332,2006-11-22,Kings, John Salmons,,activated from IL
9333,2006-11-22,Raptors,, Morris Peterson,placed on IL with torn muscle in left elbow
9334,2006-11-22,Raptors, Darrick Martin,,activated from IL
9335,2006-11-22,Rockets,, Kirk Snyder,placed on IL recovering from surgery on right hand
9336,2006-11-22,Rockets, Chuck Hayes,,activated from IL
9337,2006-11-22,Sonics,, Desmon Farmer,placed on IL
9338,2006-11-22,Sonics, Andreas Glyniadakis,,activated from IL
9339,2006-11-22,Spurs,, Eric Williams,placed on IL
9340,2006-11-22,Spurs, Jackie Butler,,activated from IL
9341,2006-11-24,76ers,, Steven Smith,placed on IL
9342,2006-11-24,76ers, Allen Iverson,,activated from IL
9343,2006-11-24,Bobcats,, Alan Anderson,placed on IL with back injury
9344,2006-11-24,Bobcats, Brevin Knight,,activated from IL
9345,2006-11-24,Cavaliers,, Scot Pollard,placed on IL
9346,2006-11-24,Cavaliers, Ira Newble,,activated from IL
9347,2006-11-24,Celtics,, Allan Ray,placed on IL
9348,2006-11-24,Celtics, Delonte West,,activated from IL
9349,2006-11-24,Grizzlies,, Kyle Lowry,placed on IL with broken left wrist (out for season)
9350,2006-11-24,Grizzlies, Tarence Kinsey,,activated from IL
9351,2006-11-24,Jazz,, Rafael Araujo,placed on IL
9352,2006-11-24,Jazz, Andrei Kirilenko,,activated from IL
9353,2006-11-24,Kings,, Ron Artest / Metta World Peace,placed on IL with strained lower back
9354,2006-11-24,Kings, Vitaly Potapenko,,activated from IL
9355,2006-11-24,Knicks,, Kelvin Cato,placed on IL
9356,2006-11-24,Knicks, Mardy Collins,,activated from IL
9357,2006-11-24,Magic,, Pat Garrity,placed on IL with right knee injury
9358,2006-11-24,Magic,, Travis Diener,placed on IL with right ankle injury
9359,2006-11-24,Magic, J.J. Redick,,activated from IL
9360,2006-11-24,Mavericks,, Pops Mensah-Bonsu,placed on IL
9361,2006-11-24,Mavericks, Josh Howard,,activated from IL
9362,2006-11-24,Nets,, Clifford Robinson (R.),placed on IL with sprained left knee
9363,2006-11-24,Nets, Josh Boone,,activated from IL
9364,2006-11-24,Nuggets,, Julius Hodge,placed on IL
9365,2006-11-24,Nuggets, Jamal Sampson,,activated from IL
9366,2006-11-24,Raptors,, Kris Humphries,placed on IL with sprained right ankle
9367,2006-11-24,Raptors, Uros Slokar,,activated from IL
9368,2006-11-24,Spurs,, Jackie Butler,placed on IL
9369,2006-11-24,Spurs, Jacque Vaughn,,activated from IL
9370,2006-11-24,Suns,, Leandro Barbosa,placed on IL with sprained left ankle
9371,2006-11-24,Suns, Jumaine Jones,,activated from IL
9372,2006-11-24,Wizards,, Michael Ruffin,placed on IL with sprained right foot
9373,2006-11-24,Wizards, Calvin Booth,,activated from IL
9374,2006-11-25,Clippers,, Chris Kaman,placed on IL with sprained left ankle
9375,2006-11-25,Clippers, Yaroslav Korolev,,activated from IL
9376,2006-11-25,Hawks, Royal Ivey,,activated from IL
9377,2006-11-25,Heat,, Chris Quinn,placed on IL
9378,2006-11-25,Heat, Jason Williams,,activated from IL
9379,2006-11-25,Hornets,, Predrag Stojakovic / Peja Stojakovic,placed on IL with strained back
9380,2006-11-25,Hornets, Marcus Vinicius Viera de Souza,,activated from IL
9381,2006-11-25,Kings,, Jason Hart,placed on IL
9382,2006-11-25,Kings,, Vitaly Potapenko,placed on IL
9383,2006-11-25,Kings, Brad Miller,,activated from IL
9384,2006-11-25,Kings, Ron Artest / Metta World Peace,,activated from IL
9385,2006-11-25,Magic, Travis Diener,,activated from IL
9386,2006-11-25,Warriors,, Mickael Pietrus,placed on IL with flu
9387,2006-11-26,Lakers,, Aaron McKie,placed on IL
9388,2006-11-26,Lakers,, Brian Cook,placed on IL with upper respiratory infection
9389,2006-11-26,Lakers, Jordan Farmar,,activated from IL
9390,2006-11-26,Lakers, Shammond Williams,,activated from IL
9391,2006-11-26,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with bruised/strained lower back
9392,2006-11-26,Spurs, Eric Williams,,activated from IL
9393,2006-11-27,76ers,, Bobby Jones (Ray),placed on IL
9394,2006-11-27,76ers, Steven Hunter,,activated from IL
9395,2006-11-27,Magic,, J.J. Redick,placed on IL
9396,2006-11-27,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL
9397,2006-11-27,Mavericks, Devean George,,activated from IL
9398,2006-11-28,76ers, Steven Smith,,activated from IL
9399,2006-11-28,Blazers,, Brandon Roy,placed on IL with sore left heel
9400,2006-11-28,Blazers, Joel Przybilla,,activated from IL
9401,2006-11-28,Bobcats,, Jake Voskuhl,placed on IL with sprained ankle
9402,2006-11-28,Bulls,, Michael Sweetney / Mike Sweetney,placed on IL
9403,2006-11-28,Bulls, Adrian Griffin,,activated from IL
9404,2006-11-28,Hawks,, Esteban Batista,placed on IL
9405,2006-11-28,Knicks,, Channing Frye,placed on IL with sprained left ankle
9406,2006-11-28,Knicks, Kelvin Cato,,activated from IL
9407,2006-11-28,Pacers,, Josh Powell,placed on IL
9408,2006-11-28,Pacers, Maceo Baston,,activated from IL
9409,2006-11-28,Raptors,, Uros Slokar,placed on IL
9410,2006-11-28,Raptors, Kris Humphries,,activated from IL
9411,2006-11-28,Wizards,, Calvin Booth,placed on IL
9412,2006-11-28,Wizards, James Lang,,activated from IL
9413,2006-11-29,Bobcats,, Walter Herrmann,placed on IL for personal reasons
9414,2006-11-29,Mavericks, Devean George,,activated from IL
9415,2006-11-29,Nets,, Jeff McInnis,placed on IL
9416,2006-11-29,Suns, Leandro Barbosa,,activated from IL
9417,2006-11-29,Warriors, Mickael Pietrus,,activated from IL
9418,2006-11-30,Heat, James Posey,,activated from IL
9419,2006-12-01,Bobcats,, Melvin Ely,placed on IL
9420,2006-12-01,Bobcats, Jake Voskuhl,,activated from IL
9421,2006-12-01,Bulls,, Malik Allen,placed on IL with flu
9422,2006-12-01,Bulls, Michael Sweetney / Mike Sweetney,,activated from IL
9423,2006-12-01,Kings,, Maurice Taylor,placed on IL
9424,2006-12-01,Kings, Jason Hart,,activated from IL
9425,2006-12-01,Pistons, Will Blalock,,activated from IL
9426,2006-12-02,76ers,, Shavlik Randolph,placed on IL withi broken left ankle
9427,2006-12-02,76ers, Chris Webber,,activated from IL
9428,2006-12-02,Cavaliers,, Ira Newble,placed on IL
9429,2006-12-02,Cavaliers, Scot Pollard,,activated from IL
9430,2006-12-02,Clippers,, Yaroslav Korolev,placed on IL
9431,2006-12-02,Clippers, Chris Kaman,,activated from IL
9432,2006-12-02,Heat,, Wayne Simien,placed on IL with salmonella
9433,2006-12-02,Kings,, Ron Artest / Metta World Peace,placed on IL with sore lower back
9434,2006-12-02,Kings, Vitaly Potapenko,,activated from IL
9435,2006-12-02,Nets,, Mile Ilic,placed on IL
9436,2006-12-02,Nets, Eddie House,,activated from IL
9437,2006-12-02,Pacers,, Orien Greene,placed on IL
9438,2006-12-02,Pacers, Josh Powell,,activated from IL
9439,2006-12-03,Magic,, Travis Diener,placed on IL
9440,2006-12-03,Magic, Pat Garrity,,activated from IL
9441,2006-12-03,Pistons,, Will Blalock,placed on IL
9442,2006-12-04,Bulls,, Viktor Khryapa,placed on IL
9443,2006-12-04,Bulls, Malik Allen,,activated from IL
9444,2006-12-04,Celtics,, Wally Szczerbiak,placed on IL with sprained left ankle
9445,2006-12-04,Celtics, Allan Ray,,activated from IL
9446,2006-12-04,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with lacerated tongue
9447,2006-12-04,Mavericks,, Maurice Ager,placed on IL with sprained right ankle
9448,2006-12-04,Mavericks, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,,activated from IL
9449,2006-12-04,Spurs,, Jacque Vaughn,placed on IL
9450,2006-12-04,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
9451,2006-12-05,Blazers,, Stephen Graham,placed on IL
9452,2006-12-05,Blazers, Raef LaFrentz,,activated from IL
9453,2006-12-05,Pistons,, Lindsey Hunter,placed on IL with sore right Achilles tendon
9454,2006-12-05,Pistons, Will Blalock,,activated from IL
9455,2006-12-05,Sonics,, Ray Allen,placed on IL with strained tendon in right foot
9456,2006-12-05,Sonics, Desmon Farmer,,activated from IL
9457,2006-12-06,Bobcats,, Bernard Robinson,placed on IL
9458,2006-12-06,Bobcats,, Matt Carroll,placed on IL with sprained right elbow
9459,2006-12-06,Bobcats, Melvin Ely,,activated from IL
9460,2006-12-06,Bobcats, Walter Herrmann,,activated from IL
9461,2006-12-06,Celtics,, Kendrick Perkins,placed on IL with plantar fasciitis
9462,2006-12-06,Celtics, Theo Ratliff,,activated from IL
9463,2006-12-06,Hawks,, Craig Claxton / Speedy Claxton,placed on IL with sore left knee
9464,2006-12-06,Hawks, Esteban Batista,,activated from IL
9465,2006-12-06,Lakers,, Shammond Williams,placed on IL
9466,2006-12-06,Lakers, Brian Cook,,activated from IL
9467,2006-12-06,Magic,, Keyon Dooling,placed on IL
9468,2006-12-06,Magic, J.J. Redick,,activated from IL
9469,2006-12-06,Pacers,, Josh Powell,placed on IL
9470,2006-12-06,Pacers, Orien Greene,,activated from IL
9471,2006-12-06,Raptors,, Darrick Martin,placed on IL
9472,2006-12-06,Raptors,, P.J. Tucker,placed on IL
9473,2006-12-06,Raptors, Morris Peterson,,activated from IL
9474,2006-12-06,Raptors, Uros Slokar,,activated from IL
9475,2006-12-06,Spurs,, Eric Williams,placed on IL
9476,2006-12-06,Spurs, Jacque Vaughn,,activated from IL
9477,2006-12-07,Kings,, Vitaly Potapenko,placed on IL
9478,2006-12-07,Kings, Ron Artest / Metta World Peace,,activated from IL
9479,2006-12-08,76ers,, Allen Iverson,placed on IL with back spasms
9480,2006-12-08,Bobcats,, Brevin Knight,placed on IL with strained left calf
9481,2006-12-08,Bobcats, Bernard Robinson,,activated from IL
9482,2006-12-08,Bucks,, Chris McCray,placed on IL
9483,2006-12-08,Bucks, Charlie Villanueva,,activated from IL
9484,2006-12-08,Hawks,, Esteban Batista,placed on IL
9485,2006-12-08,Hawks,, Royal Ivey,placed on IL
9486,2006-12-08,Hawks, Craig Claxton / Speedy Claxton,,activated from IL
9487,2006-12-08,Hawks, Marvin Williams,,activated from IL
9488,2006-12-08,Heat,, Jason Williams,placed on IL with knee injury
9489,2006-12-08,Heat, Chris Quinn,,activated from IL
9490,2006-12-08,Magic,, J.J. Redick,placed on IL
9491,2006-12-08,Magic, Keyon Dooling,,activated from IL
9492,2006-12-08,Nuggets,, Reggie Evans,placed on IL with strep throat
9493,2006-12-08,Nuggets, Nene / Nene Hilario / Maybyner Hilario,,activated from IL
9494,2006-12-08,Pacers,, Jermaine O'Neal,placed on IL with sore left hamstring
9495,2006-12-08,Pacers,, Rawle Marshall,placed on IL
9496,2006-12-08,Pacers, David Harrison,,activated from IL
9497,2006-12-08,Pacers, Josh Powell,,activated from IL
9498,2006-12-08,Raptors,, Andrea Bargnani,placed on IL with sore back
9499,2006-12-08,Raptors, Darrick Martin,,activated from IL
9500,2006-12-08,Timberwolves,, Mark Madsen,placed on IL with strained/dislocated right shoulder
9501,2006-12-08,Timberwolves, Bracey Wright,,activated from IL
9502,2006-12-09,Cavaliers,, Drew Gooden,placed on IL with left groin injury
9503,2006-12-09,Cavaliers, Larry Hughes,,activated from IL
9504,2006-12-09,Grizzlies,, Lawrence Roberts,placed on IL with knee injury
9505,2006-12-09,Grizzlies, Eddie Jones,,activated from IL
9506,2006-12-09,Magic,, Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sprained right ankle
9507,2006-12-09,Magic, Travis Diener,,activated from IL
9508,2006-12-09,Mavericks,, Austin Croshere,placed on IL with sore left hamstring
9509,2006-12-09,Mavericks,, Jerry Stackhouse,placed on IL with strained right groin
9510,2006-12-09,Mavericks, Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
9511,2006-12-09,Mavericks, Maurice Ager,,activated from IL
9512,2006-12-09,Pacers,, Josh Powell,placed on IL
9513,2006-12-09,Pacers, Rawle Marshall,,activated from IL
9514,2006-12-09,Wizards,, Andray Blatche,placed on IL
9515,2006-12-09,Wizards, Calvin Booth,,activated from IL
9516,2006-12-10,Blazers,, Raef LaFrentz,placed on IL
9517,2006-12-10,Blazers, Stephen Graham,,activated from IL
9518,2006-12-10,Bobcats,, Walter Herrmann,placed on IL
9519,2006-12-10,Bobcats, Matt Carroll,,activated from IL
9520,2006-12-10,Hawks,, Joe Johnson,placed on IL with strained right calf
9521,2006-12-10,Hawks, Royal Ivey,,activated from IL
9522,2006-12-10,Kings,, Kenny Thomas,placed on IL with illness
9523,2006-12-10,Kings, Vitaly Potapenko,,activated from IL
9524,2006-12-10,Raptors,, Chris Bosh,placed on IL with bruised left knee
9525,2006-12-10,Raptors,, Darrick Martin,placed on IL
9526,2006-12-10,Raptors, Andrea Bargnani,,activated from IL
9527,2006-12-10,Raptors, P.J. Tucker,,activated from IL
9528,2006-12-10,Spurs,, Jacque Vaughn,placed on IL
9529,2006-12-10,Spurs, Eric Williams,,activated from IL
9530,2006-12-11,Blazers,, Stephen Graham,placed on IL
9531,2006-12-11,Blazers, Raef LaFrentz,,activated from IL
9532,2006-12-11,Clippers,, Chris Kaman,placed on IL with stomach virus
9533,2006-12-11,Clippers, Yaroslav Korolev,,activated from IL
9534,2006-12-11,Heat,, Gary Payton (Sr.),placed on IL with right Achilles tendon inflammation
9535,2006-12-11,Heat, Jason Williams,,activated from IL
9536,2006-12-11,Knicks,, Steve Francis,placed on IL with right knee tendinitis
9537,2006-12-11,Knicks, Jared Jeffries,,activated from IL
9538,2006-12-11,Magic,, Keith Bogans,placed on IL with sprained right ankle
9539,2006-12-11,Magic, J.J. Redick,,activated from IL
9540,2006-12-11,Pacers,, Al Harrington,placed on IL with stomach illness
9541,2006-12-11,Pacers, Josh Powell,,activated from IL
9542,2006-12-11,Pacers, Shawne Williams,,activated from IL
9543,2006-12-11,Raptors,, Uros Slokar,placed on IL
9544,2006-12-11,Raptors, Darrick Martin,,activated from IL
9545,2006-12-11,Spurs,, Robert Horry,placed on IL
9546,2006-12-11,Spurs, Jackie Butler,,activated from IL
9547,2006-12-12,Kings,, Vitaly Potapenko,placed on IL
9548,2006-12-12,Kings, Kenny Thomas,,activated from IL
9549,2006-12-12,Nuggets,, Joe Smith (Leynard),placed on IL with ankle injury
9550,2006-12-12,Nuggets, Reggie Evans,,activated from IL
