GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name,home_team_oddsname,away_team_oddsname
42100233,2021,2022-05-07,1610612744,1610612763,142.0,0.624,0.905,0.531,34.0,38.0,112.0,0.435,0.762,0.372,21.0,30.0,1,30.0,254.0,Golden State Warriors,Memphis Grizzlies,GoldenState,Memphis
42100203,2021,2022-05-06,1610612755,1610612748,99.0,0.478,0.864,0.485,22.0,43.0,79.0,0.351,0.75,0.233,14.0,36.0,1,20.0,178.0,Philadelphia 76ers,Miami Heat,Philadelphia,Miami
42100223,2021,2022-05-06,1610612742,1610612756,103.0,0.444,0.769,0.333,25.0,36.0,94.0,0.447,0.867,0.464,23.0,45.0,1,9.0,197.0,Dallas Mavericks,Phoenix Suns,Dallas,Phoenix
42100202,2021,2022-05-04,1610612748,1610612755,119.0,0.513,0.806,0.483,25.0,44.0,103.0,0.452,0.864,0.267,17.0,34.0,1,16.0,222.0,Miami Heat,Philadelphia 76ers,Miami,Philadelphia
42100222,2021,2022-05-04,1610612756,1610612742,129.0,0.645,0.857,0.52,28.0,34.0,109.0,0.456,0.833,0.415,19.0,25.0,1,20.0,238.0,Phoenix Suns,Dallas Mavericks,Phoenix,Dallas
42100212,2021,2022-05-03,1610612738,1610612749,109.0,0.475,0.867,0.465,28.0,40.0,86.0,0.466,0.652,0.167,16.0,37.0,1,23.0,195.0,Boston Celtics,Milwaukee Bucks,Boston,Milwaukee
42100232,2021,2022-05-03,1610612763,1610612744,106.0,0.396,0.952,0.311,17.0,49.0,101.0,0.421,0.778,0.184,27.0,52.0,1,5.0,207.0,Memphis Grizzlies,Golden State Warriors,Memphis,GoldenState
42100201,2021,2022-05-02,1610612748,1610612755,106.0,0.435,0.944,0.25,21.0,47.0,92.0,0.43,0.9,0.176,18.0,37.0,1,14.0,198.0,Miami Heat,Philadelphia 76ers,Miami,Philadelphia
42100221,2021,2022-05-02,1610612756,1610612742,121.0,0.505,1.0,0.393,27.0,51.0,114.0,0.471,0.72,0.41,16.0,36.0,1,7.0,235.0,Phoenix Suns,Dallas Mavericks,Phoenix,Dallas
42100211,2021,2022-05-01,1610612738,1610612749,89.0,0.333,0.75,0.36,21.0,48.0,101.0,0.411,0.714,0.353,22.0,54.0,0,-12.0,190.0,Boston Celtics,Milwaukee Bucks,Boston,Milwaukee
42100231,2021,2022-05-01,1610612763,1610612744,116.0,0.432,0.75,0.4,26.0,46.0,117.0,0.484,0.65,0.368,31.0,52.0,0,-1.0,233.0,Memphis Grizzlies,Golden State Warriors,Memphis,GoldenState
